season,dteday,count_cr
Summer,2012-06-01,4127
Summer,2012-06-02,8120
Summer,2012-06-03,7641
Summer,2012-06-04,6998
Summer,2012-06-05,7001
Summer,2012-06-06,7055
Summer,2012-06-07,7494
Summer,2012-06-08,7736
Summer,2012-06-09,7498
Summer,2012-06-10,6598
Summer,2012-06-11,6664
Summer,2012-06-12,4972
Summer,2012-06-13,7421
Summer,2012-06-14,7363
Summer,2012-06-15,7665
Summer,2012-06-16,7702
Summer,2012-06-17,6978
Summer,2012-06-18,5099
Summer,2012-06-19,6825
Summer,2012-06-20,6211
Fall,2012-06-21,5905
Fall,2012-06-22,5823
Fall,2012-06-23,7458
Fall,2012-06-24,6891
Fall,2012-06-25,6779
Fall,2012-06-26,7442
Fall,2012-06-27,7335
Fall,2012-06-28,6879
Fall,2012-06-29,5463
Fall,2012-06-30,5687
Fall,2012-07-01,5531
Fall,2012-07-02,6227
Fall,2012-07-03,6660
Fall,2012-07-04,7403
Fall,2012-07-05,6241
Fall,2012-07-06,6207
Fall,2012-07-07,4840
Fall,2012-07-08,4672
Fall,2012-07-09,6569
Fall,2012-07-10,6290
Fall,2012-07-11,7264
Fall,2012-07-12,7446
Fall,2012-07-13,7499
Fall,2012-07-14,6969
Fall,2012-07-15,6031
Fall,2012-07-16,6830
Fall,2012-07-17,6786
Fall,2012-07-18,5713
Fall,2012-07-19,6591
Fall,2012-07-20,5870
Fall,2012-07-21,4459
Fall,2012-07-22,7410
Fall,2012-07-23,6966
Fall,2012-07-24,7592
Fall,2012-07-25,8173
Fall,2012-07-26,6861
Fall,2012-07-27,6904
Fall,2012-07-28,6685
Fall,2012-07-29,6597
Fall,2012-07-30,7105
Fall,2012-07-31,7216
Fall,2012-08-01,7580
Fall,2012-08-02,7261
Fall,2012-08-03,7175
Fall,2012-08-04,6824
Fall,2012-08-05,5464
Fall,2012-08-06,7013
Fall,2012-08-07,7273
Fall,2012-08-08,7534
Fall,2012-08-09,7286
Fall,2012-08-10,5786
Fall,2012-08-11,6299
Fall,2012-08-12,6544
Fall,2012-08-13,6883
Fall,2012-08-14,6784
Fall,2012-08-15,7347
Fall,2012-08-16,7605
Fall,2012-08-17,7148
Fall,2012-08-18,7865
Fall,2012-08-19,4549
Fall,2012-08-20,6530
Fall,2012-08-21,7006
Fall,2012-08-22,7375
Fall,2012-08-23,7765
Fall,2012-08-24,7582
Fall,2012-08-25,6053
Fall,2012-08-26,5255
Fall,2012-08-27,6917
Fall,2012-08-28,7040
Fall,2012-08-29,7697
Fall,2012-08-30,7713
Fall,2012-08-31,7350
Fall,2012-09-01,6140
Fall,2012-09-02,5810
Fall,2012-09-03,6034
Fall,2012-09-04,6864
Fall,2012-09-05,7112
Fall,2012-09-06,6203
Fall,2012-09-07,7504
Fall,2012-09-08,5976
Fall,2012-09-09,8227
Fall,2012-09-10,7525
Fall,2012-09-11,7767
Fall,2012-09-12,7870
Fall,2012-09-13,7804
Fall,2012-09-14,8009
Fall,2012-09-15,8714
Fall,2012-09-16,7333
Fall,2012-09-17,6869
Fall,2012-09-18,4073
Fall,2012-09-19,7591
Fall,2012-09-20,7720
Fall,2012-09-21,8167
Fall,2012-09-22,8395
Winter,2012-09-23,7907
Winter,2012-09-24,7436
Winter,2012-09-25,7538
Winter,2012-09-26,7733
Winter,2012-09-27,7393
Winter,2012-09-28,7415
Winter,2012-09-29,8555
Winter,2012-09-30,6889
Winter,2012-10-01,6778
Winter,2012-10-02,4639
Winter,2012-10-03,7572
Winter,2012-10-04,7328
Winter,2012-10-05,8156
Winter,2012-10-06,7965
Winter,2012-10-07,3510
Winter,2012-10-08,5478
Winter,2012-10-09,6392
Winter,2012-10-10,7691
Winter,2012-10-11,7570
Winter,2012-10-12,7282
Winter,2012-10-13,7109
Winter,2012-10-14,6639
Winter,2012-10-15,5875
Winter,2012-10-16,7534
Winter,2012-10-17,7461
Winter,2012-10-18,7509
Winter,2012-10-19,5424
Winter,2012-10-20,8090
Winter,2012-10-21,6824
Winter,2012-10-22,7058
Winter,2012-10-23,7466
Winter,2012-10-24,7693
Winter,2012-10-25,7359
Winter,2012-10-26,7444
Winter,2012-10-27,7852
Winter,2012-10-28,4459
Winter,2012-10-29,22
Winter,2012-10-30,1096
Winter,2012-10-31,5566
Winter,2012-11-01,5986
Winter,2012-11-02,5847
Winter,2012-11-03,5138
Winter,2012-11-04,5107
Winter,2012-11-05,5259
Winter,2012-11-06,5686
Winter,2012-11-07,5035
Winter,2012-11-08,5315
Winter,2012-11-09,5992
Winter,2012-11-10,6536
Winter,2012-11-11,6852
Winter,2012-11-12,6269
Winter,2012-11-13,4094
Winter,2012-11-14,5495
Winter,2012-11-15,5445
Winter,2012-11-16,5698
Winter,2012-11-17,5629
Winter,2012-11-18,4669
Winter,2012-11-19,5499
Winter,2012-11-20,5634
Winter,2012-11-21,5146
Winter,2012-11-22,2425
Winter,2012-11-23,3910
Winter,2012-11-24,2277
Winter,2012-11-25,2424
Winter,2012-11-26,5087
Winter,2012-11-27,3959
Winter,2012-11-28,5260
Winter,2012-11-29,5323
Winter,2012-11-30,5668
Winter,2012-12-01,5191
Winter,2012-12-02,4649
Winter,2012-12-03,6234
Winter,2012-12-04,6606
Winter,2012-12-05,5729
Winter,2012-12-06,5375
Winter,2012-12-07,5008
Winter,2012-12-08,5582
Winter,2012-12-09,3228
Winter,2012-12-10,5170
Winter,2012-12-11,5501
Winter,2012-12-12,5319
Winter,2012-12-13,5532
Winter,2012-12-14,5611
Winter,2012-12-15,5047
Winter,2012-12-16,3786
Winter,2012-12-17,4585
Winter,2012-12-18,5557
Winter,2012-12-19,5267
Winter,2012-12-20,4128
Spring,2012-12-21,3623
Spring,2012-12-22,1749
Spring,2012-12-23,1787
Spring,2012-12-24,920
Spring,2012-12-25,1013
Spring,2012-12-26,441
Spring,2012-12-27,2114
Spring,2012-12-28,3095
Spring,2012-12-29,1341
Spring,2012-12-30,1796
Spring,2012-12-31,2729
